time,Trabajo grupal
Tue 00:50:00,880
Tue 00:55:00,880
Tue 01:00:00,880
Tue 01:05:00,800
Tue 01:10:00,800
Tue 01:15:00,800
Tue 01:20:00,800
Tue 01:25:00,880
Tue 01:30:00,960
Tue 01:35:00,880
Tue 01:40:00,880
Tue 01:45:00,880
Tue 01:50:00,800
Tue 01:55:00,800
Tue 02:00:00,800
Tue 02:05:00,640
Tue 02:10:00,640
Tue 02:15:00,560
Tue 02:20:00,560
Tue 02:25:00,480
Tue 02:30:00,400
Tue 02:35:00,400
Tue 02:40:00,480
Tue 02:45:00,480
Tue 02:50:00,480
Tue 02:55:00,480
Tue 03:00:00,480
Tue 03:05:00,480
Tue 03:10:00,480
Tue 03:15:00,480
Tue 03:20:00,480
Tue 03:25:00,480
Tue 03:30:00,320
Tue 03:35:00,240
Tue 03:40:00,240
Tue 03:45:00,240
Tue 03:50:00,240
Tue 03:55:00,240
Tue 04:00:00,240
Tue 04:05:00,240
Tue 04:10:00,240
Tue 04:15:00,240
Tue 04:20:00,240
Tue 04:25:00,240
Tue 04:30:00,240
Tue 04:35:00,240
Tue 04:40:00,320
Tue 04:45:00,240
Tue 04:50:00,240
Tue 04:55:00,240
Tue 05:00:00,160
Tue 05:05:00,160
Tue 05:10:00,160
Tue 05:15:00,160
Tue 05:20:00,160
Tue 05:25:00,160
Tue 05:30:00,160
Tue 05:35:00,160
Tue 05:40:00,160
Tue 05:45:00,160
Tue 05:50:00,160
Tue 05:55:00,80
Tue 06:00:00,80
Tue 06:05:00,80
Tue 06:10:00,80
Tue 06:15:00,80
Tue 06:20:00,80
Tue 06:25:00,80
Tue 06:30:00,80
Tue 06:35:00,80
Tue 06:40:00,80
Tue 06:45:00,0
Tue 06:50:00,0
Tue 06:55:00,0
Tue 07:00:00,0
Tue 07:05:00,0
Tue 07:10:00,0
Tue 07:15:00,0
Tue 07:20:00,0
Tue 07:25:00,80
Tue 07:30:00,80
Tue 07:35:00,80
Tue 07:40:00,80
Tue 07:45:00,80
Tue 07:50:00,80
Tue 07:55:00,80
Tue 08:00:00,80
Tue 08:05:00,80
Tue 08:10:00,80
Tue 08:15:00,80
Tue 08:20:00,80
Tue 08:25:00,80
Tue 08:30:00,80
Tue 08:35:00,80
Tue 08:40:00,80
Tue 08:45:00,80
Tue 08:50:00,80
Tue 08:55:00,80
Tue 09:00:00,80
Tue 09:05:00,160
Tue 09:10:00,160
Tue 09:15:00,160
Tue 09:20:00,160
Tue 09:25:00,160
Tue 09:30:00,160
Tue 09:35:00,160
Tue 09:40:00,160
Tue 09:45:00,160
Tue 09:50:00,160
Tue 09:55:00,240
Tue 10:00:00,240
Tue 10:05:00,240
Tue 10:10:00,240
Tue 10:15:00,400
Tue 10:20:00,400
Tue 10:25:00,400
Tue 10:30:00,400
Tue 10:35:00,400
Tue 10:40:00,400
Tue 10:45:00,480
Tue 10:50:00,480
Tue 10:55:00,480
Tue 11:00:00,480
Tue 11:05:00,480
Tue 11:10:00,480
Tue 11:15:00,560
Tue 11:20:00,560
Tue 11:25:00,560
Tue 11:30:00,560
Tue 11:35:00,480
Tue 11:40:00,480
Tue 11:45:00,480
Tue 11:50:00,480
Tue 11:55:00,480
Tue 12:00:00,400
Tue 12:05:00,480
Tue 12:10:00,480
Tue 12:15:00,560
Tue 12:20:00,400
Tue 12:25:00,400
Tue 12:30:00,400
Tue 12:35:00,480
Tue 12:40:00,560
Tue 12:45:00,640
Tue 12:50:00,560
Tue 12:55:00,560
Tue 13:00:00,560
Tue 13:05:00,720
Tue 13:10:00,720
Tue 13:15:00,720
Tue 13:20:00,640
Tue 13:25:00,720
Tue 13:30:00,800
Tue 13:35:00,800
Tue 13:40:00,800
Tue 13:45:00,1040
Tue 13:50:00,1120
Tue 13:55:00,1360
Tue 14:00:00,1520
Tue 14:05:00,1520
Tue 14:10:00,1440
Tue 14:15:00,1520
Tue 14:20:00,1440
Tue 14:25:00,1520
Tue 14:30:00,1600
Tue 14:35:00,1760
Tue 14:40:00,1760
Tue 14:45:00,1680
Tue 14:50:00,1600
Tue 14:55:00,1680
Tue 15:00:00,1680
Tue 15:05:00,1680
Tue 15:10:00,1520
Tue 15:15:00,1600
Tue 15:20:00,1600
Tue 15:25:00,1600
Tue 15:30:00,1600
Tue 15:35:00,1520
Tue 15:40:00,1520
Tue 15:45:00,1600
Tue 15:50:00,1520
Tue 15:55:00,1440
Tue 16:00:00,1280
Tue 16:05:00,1440
Tue 16:10:00,1520
Tue 16:15:00,1600
Tue 16:20:00,1520
Tue 16:25:00,1520
Tue 16:30:00,1440
Tue 16:35:00,1360
Tue 16:40:00,1200
Tue 16:45:00,1120
Tue 16:50:00,1200
Tue 16:55:00,1280
Tue 17:00:00,1200
Tue 17:05:00,1280
Tue 17:10:00,1360
Tue 17:15:00,1440
Tue 17:20:00,1360
Tue 17:25:00,1360
Tue 17:30:00,1422.1594883100474
Tue 17:35:00,1342.1594883100474
Tue 17:40:00,1342.1594883100474
Tue 17:45:00,1422.1594883100474
Tue 17:50:00,1342.1594883100474
Tue 17:55:00,1342.1594883100474
Tue 18:00:00,1422.1594883100474
Tue 18:05:00,1502.1594883100474
Tue 18:10:00,1342.1594883100474
Tue 18:15:00,1422.1594883100474
Tue 18:20:00,1422.1594883100474
Tue 18:25:00,1422.1594883100474
Tue 18:30:00,1644.6029456508759
Tue 18:35:00,2124.602945650876
Tue 18:40:00,2284.602945650876
Tue 18:45:00,2364.602945650876
Tue 18:50:00,2444.602945650876
Tue 18:55:00,2364.602945650876
Tue 19:00:00,2364.602945650876
Tue 19:05:00,2364.602945650876
Tue 19:10:00,2364.602945650876
Tue 19:15:00,2444.602945650876
Tue 19:20:00,2524.602945650876
Tue 19:25:00,2604.602945650876
Tue 19:30:00,2524.602945650876
Tue 19:35:00,2462.4434573408284
Tue 19:40:00,2462.4434573408284
Tue 19:45:00,2542.4434573408284
Tue 19:50:00,2462.4434573408284
Tue 19:55:00,2462.4434573408284
Tue 20:00:00,2302.4434573408284
Tue 20:05:00,2302.4434573408284
Tue 20:10:00,2142.4434573408284
Tue 20:15:00,1982.4434573408284
Tue 20:20:00,1947.2576117376116
Tue 20:25:00,2027.2576117376116
Tue 20:30:00,2107.2576117376116
Tue 20:35:00,2044.8141543967831
Tue 20:40:00,1644.8141543967831
Tue 20:45:00,1644.8141543967831
Tue 20:50:00,1644.8141543967831
Tue 20:55:00,1724.8141543967831
Tue 21:00:00,1724.8141543967831
Tue 21:05:00,1644.8141543967831
Tue 21:10:00,1884.8141543967831
Tue 21:15:00,1964.8141543967831
Tue 21:20:00,1804.8141543967831
Tue 21:25:00,1724.8141543967831
Tue 21:30:00,1644.8141543967831
Tue 21:35:00,1644.8141543967831
Tue 21:40:00,1644.8141543967831
Tue 21:45:00,1724.8141543967831
Tue 21:50:00,1644.8141543967831
Tue 21:55:00,1644.8141543967831
Tue 22:00:00,1644.8141543967831
Tue 22:05:00,1644.8141543967831
Tue 22:10:00,1629.6890127777724
Tue 22:15:00,1709.6890127777724
Tue 22:20:00,1709.6890127777724
Tue 22:25:00,1584.8748583809893
Tue 22:30:00,1504.8748583809893
Tue 22:35:00,1481.414080349673
Tue 22:40:00,1321.414080349673
Tue 22:45:00,1241.414080349673
Tue 22:50:00,1081.414080349673
Tue 22:55:00,1001.414080349673
Tue 23:00:00,841.414080349673
Tue 23:05:00,841.414080349673
Tue 23:10:00,921.414080349673
Tue 23:15:00,761.414080349673
