t_stamp,Ruta: San Jose- Desamparados,Ruta: San Jose- Alajuela,Ruta: Uruca-Pavas-Escazu,Ruta: San Jose-Carpio-Uruca,Consumo total (kW)
Mon 07:15:00,723.6167339466915,80.0,92.92975005491007,156.06933069963208,1052.6158147012336
Mon 07:20:00,723.6167339466915,80.0,92.92975005491007,145.9735265765155,1042.520010578117
Mon 07:25:00,723.6167339466915,80.0,92.92975005491007,140.58111030631534,1037.127594307917
Mon 07:30:00,723.6167339466915,80.0,92.92975005491007,140.58111030631534,1037.127594307917
Mon 07:35:00,723.6167339466915,80.0,82.67804093836585,140.58111030631534,1026.8758851913728
Mon 07:40:00,723.6167339466915,80.0,70.79426514125333,140.58111030631534,1014.9921093942603
Mon 07:45:00,723.6167339466915,80.0,70.79426514125333,140.58111030631534,1014.9921093942603
Mon 07:50:00,689.3677328164691,80.0,70.79426514125333,140.58111030631534,980.7431082640378
Mon 07:55:00,689.3677328164691,80.0,70.79426514125333,140.58111030631534,980.7431082640378
Mon 08:00:00,689.3677328164691,80.0,70.79426514125333,140.58111030631534,980.7431082640378
Mon 08:05:00,689.3677328164691,80.0,60.54692095115688,140.58111030631534,970.4957640739412
Mon 08:10:00,529.3677328164691,80.0,60.54692095115688,140.58111030631534,810.4957640739412
Mon 08:15:00,529.3677328164691,80.0,60.54692095115688,140.58111030631534,810.4957640739412
Mon 08:20:00,449.3677328164691,80.0,60.54692095115688,140.58111030631534,730.4957640739412
Mon 08:25:00,369.3677328164691,80.0,60.54692095115688,140.58111030631534,650.4957640739412
Mon 08:30:00,369.3677328164691,80.0,56.69589882512754,150.6416281623105,656.7052598039071
Mon 08:35:00,319.2962598109144,80.0,56.69589882512754,150.6416281623105,606.6337867983524
Mon 08:40:00,239.2962598109144,80.0,56.69589882512754,150.6416281623105,526.6337867983524
Mon 08:45:00,159.29625981091436,80.0,56.69589882512754,145.33084272256346,441.3230013586053
Mon 08:50:00,159.29625981091436,80.0,56.69589882512754,137.07101595470445,433.06317459074637
Mon 08:55:00,100.62956002972273,80.0,56.69589882512754,137.07101595470445,374.3964748095547
Mon 09:00:00,100.62956002972273,0.0,56.69589882512754,137.07101595470445,294.3964748095547
Mon 09:05:00,45.75099886977757,0.0,56.69589882512754,137.07101595470445,239.51791364960957
Mon 09:10:00,45.75099886977757,0.0,56.69589882512754,137.07101595470445,239.51791364960957
Mon 09:15:00,45.75099886977757,0.0,56.69589882512754,137.07101595470445,239.51791364960957
Mon 09:20:00,45.75099886977757,80.0,56.69589882512754,137.07101595470445,319.51791364960957
Mon 09:25:00,125.75099886977756,80.0,56.69589882512754,137.07101595470445,399.51791364960957
Mon 09:30:00,125.75099886977756,80.0,56.69589882512754,137.07101595470445,399.51791364960957
Mon 09:35:00,125.75099886977756,80.0,56.69589882512754,137.07101595470445,399.51791364960957
Mon 09:40:00,125.75099886977756,80.0,54.77537580675951,129.51887687882189,390.04525155535896
Mon 09:45:00,125.75099886977756,80.0,54.77537580675951,129.51887687882189,390.04525155535896
Mon 09:50:00,125.75099886977756,80.0,42.65970027402291,119.91321489720843,368.3239140410089
Mon 09:55:00,80.0,80.0,42.65970027402291,112.42282978563485,315.08253005965776
Mon 10:00:00,80.0,80.0,42.65970027402291,112.42282978563485,315.08253005965776
Mon 10:05:00,80.0,80.0,42.65970027402291,112.42282978563485,315.08253005965776
Mon 10:10:00,80.0,80.0,42.65970027402291,112.42282978563485,315.08253005965776
